ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-75f,Closed,3/4/2022,4/9/2022,"AUD183 - ACAM Ramp Inspection, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"AZAL, Auditee",4K-AZ64 - not assessed/documented F/O right window (sliding) right bottom corner bubbles and two chips on same window left edge (photos attached),At time of audit inspection AC was arrived from flight. Cockpit windows inspection not carried out due to arrival check does not cover it.,"AZAL, Auditee",4/9/2022,4/4/2022,Inspection performed IAW AMM 56-12-00-200-802-A and no repair is required. Transferred to TCOD. See details below in NRC 130802,"AZAL, Auditee",4/9/2022,,Inspection of Cockpit windows will be performed in every 48 hours as per MP requirements.,"AZAL, Auditee",4/9/2022,,None,None,None,None,"Assessment performed, documented, needed provided","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-75n,Closed,3/4/2022,4/9/2022,"AUD183 - ACAM Ramp Inspection, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"AZAL, Auditee",4K-AZ64 - not assessed/documented F/O right window (sliding) right bottom corner bubbles and two chips on same window left edge (photos attached),At time of audit inspection AC was arrived from flight. Cockpit windows inspection not carried out due to arrival check does not cover it.,"AZAL, Auditee",4/9/2022,4/4/2022,Inspection performed IAW AMM 56-12-00-200-802-A and no repair is required. Transferred to TCOD. See details below in NRC 130802,"AZAL, Auditee",4/9/2022,,Inspection of Cockpit windows will be performed in every 48 hours as per MP requirements.,"AZAL, Auditee",4/9/2022,,None,None,None,None,"Assessment performed, documented, needed provided","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-75b,Closed,3/4/2022,4/9/2022,"AUD183 - ACAM Ramp Inspection, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"AZAL, Auditee",4K-AZ64 - not assessed/documented F/O right window (sliding) right bottom corner bubbles and two chips on same window left edge (photos attached),At time of audit inspection AC was arrived from flight. Cockpit windows inspection not carried out due to arrival check does not cover it.,"AZAL, Auditee",4/9/2022,4/4/2022,Inspection performed IAW AMM 56-12-00-200-802-A and no repair is required. Transferred to TCOD. See details below in NRC 130802,"AZAL, Auditee",4/9/2022,,Inspection of Cockpit windows will be performed in every 48 hours as per MP requirements.,"AZAL, Auditee",4/9/2022,,None,None,None,None,"Assessment performed, documented, needed provided","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-75,Closed,3/4/2022,4/9/2022,"AUD183 - ACAM Ramp Inspection, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"AZAL, Auditee",4K-AZ64 - not assessed/documented F/O right window (sliding) right bottom corner bubbles and two chips on same window left edge (photos attached),At time of audit inspection AC was arrived from flight. Cockpit windows inspection not carried out due to arrival check does not cover it.,"AZAL, Auditee",4/9/2022,4/4/2022,Inspection performed IAW AMM 56-12-00-200-802-A and no repair is required. Transferred to TCOD. See details below in NRC 130802,"AZAL, Auditee",4/9/2022,,Inspection of Cockpit windows will be performed in every 48 hours as per MP requirements.,"AZAL, Auditee",4/9/2022,,None,None,None,None,"Assessment performed, documented, needed provided","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-170,Closed,8/22/2022,8/26/2022,"AUD254 - AZAL CAMO, Airworthiness review 4K-AI001, Form 105 dated 19.08.2022",CA/PA,"AZAL, Auditee","Below listed nonconformities should be corrected:
1. Airframe, Engine, APU flying hours and associated flight cycles records
- not signed by CAD and QA managers
2. Performance status of scheduled maintenance i.a.w. maintenance programme (last done – next due). 
- not signed by CAD and QA managers; 
- ageing on 19/08/2022 in report is 41 FH, 12 FC whereas Total Air Hours (TAH) and, Total Air Cycles (TAC) status shows 44,49 FH, 13 FC;
- Inappropriate task 783100-R2-1 with protocol AHY2 is included to the status
3. Airworthiness Directives Compliance Status:
• for Components
- not signed by CAD and QA managers;
- Ageing on 19/08/2022 in report is 40,93 FH, 12 FC whereas Total Air Hours (TAH) and, Total Air Cycles (TAC) status shows 44,49 FH, 13 FC;
- Status of some ADs are shown as rejected (example: 2020-18-14)
• for Airframe,
- not signed by CAD and QA managers.
- Ageing on 19/08/2022 in report is 40,93 FH, 12 FC whereas Total Air Hours (TAH) and, Total Air Cycles (TAC) status shows 44,49 FH, 13 FC
- Status of some ADs are shown as rejected (example: 2016-08-03).
4. Life Limited Parts status records
- not signed by CAD and QA managers.
- Ageing on 19/08/2022 in report is 40,93 FH, 12 FC whereas Total Air Hours (TAH) and, Total Air Cycles (TAC) status shows 44,49 FH, 13 FC
- Intervals are empty for some LLP components (example: SN: GWN1492H).
5. Hard Time Components status records
- not signed by CAD and QA managers;
- Ageing on 19/08/2022 in report is 40,93 FH, 12 FC whereas Total Air Hours (TAH) and, Total Air Cycles (TAC) status shows 44,49 FH, 13 FC
- Intervals are empty for some H/T components (example: SN: CFNYT535)
6. Non-Incidents/Non-accidents Statement
- not signed by CAD and QA managers",Human factor.,"Latifov, Karim A",8/26/2022,4/4/2022,All above listed non-conformities have been corrected,"Latifov, Fuad",8/26/2022,,Staff have been additionally trained,"Latifov, Karim A",8/26/2022,,None,None,None,None,Follow Up not required,"Latifov, Karim A",8/22/2022,8/22/2022,None,None,None,None,
CA/PA-76,Closed,3/4/2022,4/9/2022,"AUD182 - ACAM In-depth Survey, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"Latifov, Fuad","4K-AZ64 - AIRCRAFT EASA AD status file - for some status shows as rejected - examples attached
M.A.303","Due to effectivity of ADs are indicating by model E190-100IGW, ADs should be included to Amasis as applicable. But as per S/N of A/Cs some ADs are not applicable to our A/Cs. For this cases ""your proposal"" section of amasis for ADs has been included as Not Applicable and Notes are added for explanation . That is why status was showing in report from amasis as Rejected.","AZAL, Auditee",4/9/2022,4/4/2022,Required action has been done and Your proposal section of Amasis has been changed for Rejected ADs and included as Applicable.,"AZAL, Auditee",4/9/2022,,"In future all ADs which are not applicable by Aircraft MSN, but applicable by model of A/C will be added to Amasis as applicable.","AZAL, Auditee",4/9/2022,,None,None,None,None,Actions accepted,"Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
CA/PA-139,Closed,7/8/2022,8/8/2022,"AUD238 - ASG Helicopter Services (AZ.145.0004), Inspection (base maintenance)",CA/PA,"ASG-HS, Auditee","The organization cannot fully demonstrate compliance with point 145.25(d), 42(c) of AAR-145:

1) In the main hangar of MRO -004 there were many boxes with unserviceable/serviceable materials, not in the special zone identified for that purposes. Segregation was not done properly. See photo # 1-6 Repetitive!!!!!
2) Parts without identification tags were observed on the shelfs in the main hangar. See photos # 7-9. Repetitive!!!!!","1. Due to continuously heavy maintenance on AW139 fleet (8Y inspections) Main Rotor Blades, MGB stand, engine stands allocated in main hangar, due to big sizes of boxes impossible to place such kind of equipment and boxes to store.

2. Components observed without identification tags were under inspection (AW139, 4K-AZ118, 8Y inspection, AS332L1, 4K-AZ24 preparation to long term preservation, Cessna 172S, 4K-AZ96 engine replacement).","Valiyev, Rufat",7/29/2022,8/22/2022,"1. Segregation of big boxes and GSE  performed.

2. Components properly identified.
Please review pictures attached. ","Valiyev, Rufat",7/29/2022,,"Within ongoing MOE training mentioned issues were one more time discussed with maintenance personnel. 
Shift supervisors have been instructed to more closely monitor the implementation of MOE procedures in the maintenance hangar.","Valiyev, Rufat",7/29/2022,,None,None,None,None,presented evidence is accepted.,"Agayeva, Natavan",,8/11/2022,None,None,None,None,
CA/PA-245,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"AZAL, Auditee",1. Abundant paint damages were found on the upper surface of both wings and a lot of paint damages were observed on the entire aircraft skin which were not assessed IAW AAR-M.403 (attachment 01),Common problem on all B-787 aircrafts. Manufacturer was informed.,"AZAL, Auditee",12/23/2022,8/22/2022,"AZAL in negotiation with several companies around the world to repair aircraft wing upper skins and repaint whole the aircrafts.
Is going to be accomplish in 2023.
Paint restored in accordance with WO and NRC uploaded","AZAL, Auditee",12/23/2022,,The staff will be keeping this issue under control,"AZAL, Auditee",12/23/2022,,None,None,None,None,Follow Up required,"Latifov, Karim A",12/27/2022,2/23/2023,None,None,None,None,
CA/PA-158,Closed,8/12/2022,10/12/2022,"AUD249 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey (Airbus A319/A320)",CA/PA,"AZAL, Auditee","Software P/N incorrect and FDRL SA refers to previous revision on Flight Data Recorder Readout Report 4K-AZ80-2022-GD00248368 (see attached file ""Remarks"" for detail)",Human Factor,"AZAL, Auditee",8/19/2022,8/22/2022,The software P/N has been corrected appropriately.The previous revision number on Flight Data Recorder Readout Report has been changed to last one.,"AZAL, Auditee",8/19/2022,,The necessary control will be strengthened in order to avoid raised issue.,"AZAL, Auditee",8/19/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,9/16/2022,None,None,None,None,
CA/PA-246,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"AZAL, Auditee","2. Both MLG doors markings and engines markings were unreadable, violating AAR-21A.175 (attachment 02)","Due to different temperature on ground and air and rain, all above affect the label, placard conditions.","AZAL, Auditee",12/23/2022,4/4/2022, The non routine card was raised  for replacement purposes of the  damaged markings,"AZAL, Auditee",12/23/2022,,The staff will be keeping this issue under control,"AZAL, Auditee",12/23/2022,,None,None,None,None,Follow Up required,"Latifov, Karim A",12/27/2022,2/23/2023,None,None,None,None,
CA/PA-247,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A",3. L/H Engine spinner was missing and was not assessed IAW AAR-M.403 (attachment 03),Human factor.insufficient qualifications of staff,"AZAL, Auditee",12/23/2022,4/4/2022,"LH spinner is schedule to replace
LH spinner is schedule to order replace up to
01.02.2023","AZAL, Auditee",12/23/2022,,technical staff were informed to prevent such cases in future,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (NRC#148204) has been received,"Latifov, Karim A",12/27/2022,2/7/2023,None,None,None,None,
CA/PA-160,Closed,8/15/2022,10/15/2022,"AUD248 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM Ramp Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, Engine #2 left fan cowl warning placards are torn (refer to the attached photo #1)","Due to the difference in temperature, humidity on the ground and air, the stickers/labels placards  located on the outside of the aircraft quickly become unusable.","AZAL, Auditee",8/22/2022,7/23/2022,"will be corrected during the maintenance check (2 weeks)
 due to the difference in temperature, humidity on the ground and air, the stickers/labels placards  located on the outside of the aircraft quickly become unusable.","AZAL, Auditee",8/22/2022,,"Control over stickers, labels and placards will be increased ","AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,10/14/2022,None,None,None,None,
CA/PA-248,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"AZAL, Auditee",4. There were 2 dents on FWD cargo compartment door frame which were not assessed IAW AAR-M.403 (attachments 05 and 06),The staff did not  notice at the night.  Human factor ,"AZAL, Auditee",12/23/2022,8/8/2022,"Assessment will be done and entry in dent and buckle chat.
In according with NRC dents repaired","AZAL, Auditee",12/23/2022,,technical staff were informed to prevent such cases in future,"AZAL, Auditee",12/23/2022,,None,None,None,None,Follow Up required,"Latifov, Karim A",12/27/2022,2/23/2023,None,None,None,None,
CA/PA-161,Closed,8/15/2022,10/15/2022,"AUD248 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM Ramp Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, Main landing gear servicing placards not readable - dirty (refer to the attached photo #2)","due to the difference in temperature, humidity on the ground and air, the stickers/labels placards  located on the outside of the aircraft quickly become unusable.","AZAL, Auditee",8/22/2022,8/8/2022,will be corrected during the maintenance check (2 weeks),"AZAL, Auditee",8/22/2022,,"control over stickers, labels and placards will be increased","AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,9/19/2022,None,None,None,None,
CA/PA-249,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A",5. There was a dent on the AFT cargo door frame which was not assessed IAW AAR-M.403 (attachment 07),The staff did not  notice a dent at the night.Human factor,"AZAL, Auditee",12/23/2022,12/28/2022,"Assessment will be done and entered in dent and buckle chart
WO issue assess and entry in dent and buckle chart up to 30.12.2022","AZAL, Auditee",12/23/2022,,technical staff were informed to prevent such cases in future,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (NRC#148206) has been received,"Latifov, Karim A",12/27/2022,2/7/2023,None,None,None,None,
CA/PA-162,Closed,8/15/2022,10/15/2022,"AUD248 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM Ramp Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, Bottom fuselage is with sign of fluid leakage (refer to the attached photo #3, #4)",the raised non conformance  was considered by the employees as the uncleanness of the aircraft,"AZAL, Auditee",8/22/2022,2/23/2023,"will be corrected during the maintenance check (2 weeks)
Tighten hydraulic lines of the nose wheel steering servo-control IAW 32-51-51-400-001-A Rev.59.","AZAL, Auditee",8/22/2022,,technicians are instructed in the thorough elimination of defects,"AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,10/10/2022,None,None,None,None,
CA/PA-250,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A","6. FWD cargo compartment divider was found torn in several locations, which was not assessed IAW AAR-M.403 (attachment 08)",The staff did not notice  divider torn during service Human factor,"AZAL, Auditee",12/23/2022,12/28/2022,FWD cargo divider assessment and recovering is in progress up to 10/01/2023,"AZAL, Auditee",12/23/2022,,technical staff were informed for inattentive and quality service to prevent such cases in future.,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (NRC#148207) has been received,"Latifov, Karim A",12/27/2022,2/7/2023,None,None,None,None,
CA/PA-163,Closed,8/15/2022,10/15/2022,"AUD248 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM Ramp Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, There are a lot of scratches and paint damages on the Avionics Compartment Right Access door (refer to the attached photo #5)",more usable panel for maintenance .Human factor,"AZAL, Auditee",8/22/2022,9/5/2022,will be corrected during the maintenance check (2 weeks),"AZAL, Auditee",8/22/2022,,personnel are informed of the need for a thorough inspection,"AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,9/19/2022,None,None,None,None,
CA/PA-251,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A",7. Bent bolt was found in FWD cargo compartment cargo loading track which was not assessed IAW AAR-M.403 (attachment 09),the staff did not notice during the service of aircraft cargo. Human factor,"AZAL, Auditee",12/23/2022,9/9/2022,Investigation and recovering process is in progress up to 10.01.2023,"AZAL, Auditee",12/23/2022,,technical staff were informed for inattentive and quality service to prevent such cases in future.,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (NRC#148208) has been received,"Latifov, Karim A",12/27/2022,2/7/2023,None,None,None,None,
CA/PA-164,Closed,8/15/2022,10/15/2022,"AUD248 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM Ramp Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, There is a damage on the Radom (refer to the attached photo #6)",Due to flight intensity the raised deficiency was overlooked.,"AZAL, Auditee",8/22/2022,9/9/2022,"will be corrected during the maintenance check (2 weeks)
Doen inspection check of the radome IAW AMM 53-15-11-06 conf. 00 rev. 59
Done repaint of the radome external surface IAW SRM 51-75-12-911-013 rev.142","AZAL, Auditee",8/22/2022,,personnel are informed of the need for a thorough inspection,"AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,10/14/2022,None,None,None,None,
CA/PA-252,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"Latifov, Karim A","8. Damaged ceiling decompression panel was found in FWD cargo compartment, which was not assessed IAW AAR-M.403 (attachment 04)",The did not notice during the service of aircraft cargo celling panels. Human factor,"AZAL, Auditee",12/23/2022,12/28/2022,Damaged ceiling panel will be assessed and repaired/ordered new up to 10.01.2023,"AZAL, Auditee",12/23/2022,,technical staff were informed to prevent such cases in future.,"AZAL, Auditee",12/23/2022,,None,None,None,None,Evidence of correction action (NRC#148209) has been received,"Latifov, Karim A",12/27/2022,2/7/2023,None,None,None,None,
CA/PA-165,Closed,8/15/2022,10/15/2022,"AUD247 - Azerbaijan Airlines (AZ.CAMO.0001), ACAM In-depth Survey (Airbus A319/A320)",CA/PA,"Latifov, Fuad","4K-AZ80, A lot of damages (dents) are observed on the RH horizontal stabilizer leading edge. ITEM 21/1 of DBC indicates only 1 item (several small dents) without quantity and without exact location of each dent (zones) – it is impossible to identify if new damages (dents) are occurred or not (photo #7 attached)",no significant dents. Human factor,"AZAL, Auditee",8/22/2022,2/20/2023,"DBC will be updated during 2 (two) weeks.
Done inspection of the RH horizontal stabizer leading edge IAW SRM 55-12-11-283-003 rev.142 found dents on the inboard section:length 80 in,width 1 in,depth 1 mm
dents on the outboard section:length 1) 33 in, 2) 40 in : width 1) 2 in ,2) 2 in : depth 1) 1 mm , 2) 1,5 mm
As per SRM 55-12-11 -283-003 rev.142  it can be considered as in limit","AZAL, Auditee",8/22/2022,,personnel are informed of the need for a thorough inspection,"AZAL, Auditee",8/22/2022,,None,None,None,None,Follow Up required,"Latifov, Fuad",,10/14/2022,None,None,None,None,
CA/PA-253,Closed,11/29/2022,12/27/2022,"AUD300 - Foreign Aircraft Survey, Boeing B787-8 (VP-BBR)",CA/PA,"AZAL, Auditee","F1. IAW Aircraft AD status dated 16.11.2022 AD 2021-02-06 closed and created MP TC 787-28-001-AZ which includes AWL 28-AWL-FIRE. Indeed, the mentioned TC is available in MP however neither TC 787-28-001-AZ nor 28-AWL-FIRE is available in last done and next due report.",insufficient qualifications of staff .Human factor,"AZAL, Auditee",12/23/2022,12/28/2022,"Correction is under the progress  MP will updated up to 30/01/2023
The MP was updated.The TC included in.","AZAL, Auditee",12/23/2022,,ED staff were informed to prevent such cases in future.,"AZAL, Auditee",12/23/2022,,None,None,None,None,Follow Up required,"Latifov, Karim A",12/27/2022,2/23/2023,None,None,None,None,
CA/PA-77,Closed,3/4/2022,4/9/2022,"AUD182 - ACAM In-depth Survey, Embraer ERJ-190 (4K-AZ64)",AZAL Audit/Inspection,"Latifov, Fuad","4K-AZ64 - Hard Time Components status file - for some items S/N not shown (see attachment)
M.A.503","After transferring A/C delivery parts list to amasis, double check was not performed to be sure that S/Ns for positions added.","AZAL, Auditee",4/9/2022,3/31/2023,S/Ns added in Kardex positions for evacuation slides pressure cylinders. For oxygen cylinder pressure regulators S/N will be added and will be followed like subassy with Oxygen Cylinder.,"AZAL, Auditee",4/9/2022,,Kardex positions for HT components are created during after AC delivery. Will be checked for remaining Aircrafts.,"AZAL, Auditee",4/9/2022,,None,None,None,None,"Actions accepted, corrected file provided","Latifov, Fuad",4/9/2022,4/8/2022,None,None,None,None,
